Darrius Heyward-Bey,16,0,0,0,0,0,269,2,0,0,0,38.90
Wendell Smallwood,16,0,0,0,134,0,192,1,0,0,0,38.60
Tre Mason,16,5,0,0,254,1,82,0,0,0,1,37.80
Christine Michael,16,0,0,0,223,1,109,0,0,0,1,37.20
Jonathan Grimes,16,0,0,0,159,1,152,0,0,0,0,37.10
Quinton Patton,16,0,0,0,0,0,305,1,0,0,0,36.50
Matt Asiata,16,0,0,0,85,1,159,1,0,0,0,36.40
Taylor Gabriel,16,0,0,0,0,0,299,1,0,0,0,35.90
Brian Quick,16,0,0,0,0,0,289,1,0,0,0,34.90
Karlos Williams,12,0,0,0,240,1,69,0,0,0,1,34.90
Tyler Kroft,16,0,0,0,0,0,288,1,0,0,0,34.80
Marcedes Lewis,16,0,0,0,0,0,282,1,0,0,0,34.20
Kenny Bell,16,0,0,0,0,0,280,1,0,0,0,34.00
Jonas Gray,16,0,0,0,159,2,77,0,0,0,1,33.60
Kyle Juszczyk,16,0,0,0,10,0,263,1,0,0,0,33.30
Jeremy Kerley,16,5,0,0,11,0,259,1,0,0,0,33.20
Keith Marshall,16,0,0,0,188,1,80,0,0,0,0,32.80
De'Anthony Thomas,16,0,0,0,60,0,221,1,0,0,1,32.10
Brice Butler,16,0,0,0,0,0,259,1,0,0,0,31.90
Jeremy Ross,16,0,0,0,0,0,279,1,0,0,1,31.90
Charcandrick West,16,0,0,0,149,1,106,0,0,0,0,31.50
Josh Huff,16,0,0,0,0,0,252,1,0,0,0,31.20
Steve Johnson,8,0,0,0,0,0,192,2,0,0,0,31.20
Chris Givens,16,0,0,0,0,0,247,1,0,0,0,30.70
Javontee Herndon,16,0,0,0,0,0,266,1,0,0,1,30.60
Antonio Andrews,16,0,0,0,161,1,84,0,0,0,0,30.50
Marqise Lee,16,0,0,0,0,0,245,1,0,0,0,30.50
Brandon Pettigrew,16,0,0,0,0,0,240,1,0,0,0,30.00
Fitzgerald Toussaint,16,0,0,0,121,0,116,1,0,0,0,29.70
Kenjon Barner,16,0,0,0,157,1,79,0,0,0,0,29.60
Dwayne Harris,16,0,0,0,0,0,256,1,0,0,1,29.60
Justin Hardy,16,0,0,0,0,0,235,1,0,0,0,29.50
Vernon Davis,16,0,0,0,0,0,233,1,0,0,0,29.30
J.J. Nelson,16,0,0,0,0,0,232,1,0,0,0,29.20
Justin Hunter,16,0,0,0,0,0,170,2,0,0,0,29.00
Mychal Rivera,16,0,0,0,0,0,169,2,0,0,0,28.90
Fozzy Whittaker,16,0,0,0,194,0,93,0,0,0,0,28.70
Ed Dickson,16,0,0,0,0,0,166,2,0,0,0,28.60
Kenbrell Thompkins,16,0,0,0,0,0,226,1,0,0,0,28.60
Jack Doyle,16,0,0,0,0,0,225,1,0,0,0,28.50
Donald Brown,16,0,0,0,150,1,74,0,0,0,0,28.40
Josh Hill,16,0,0,0,0,0,162,2,0,0,0,28.20
Bennie Fowler,16,0,0,0,0,0,221,1,0,0,0,28.10
Orleans Darkwa,16,0,0,0,147,1,73,0,0,0,0,28.00
Kenyan Drake,16,0,0,0,112,0,164,0,0,0,0,27.60
Nick Williams,16,0,0,0,0,0,216,1,0,0,0,27.60
Jaron Brown,16,0,0,0,0,0,211,1,0,0,0,27.10
Dontrelle Inman,16,0,0,0,0,0,207,1,0,0,0,26.70
Matt Cassel,16,351,4,2,23,0,0,0,0,0,1,26.34
Breshad Perriman,16,0,0,0,0,0,200,1,0,0,0,26.00
T.J. Jones,16,5,0,0,7,0,190,1,0,0,0,25.90
Tyler Varga,16,0,0,0,100,1,99,0,0,0,0,25.90
Terron Ward,16,0,0,0,131,1,66,0,0,0,0,25.70
Dion Sims,16,0,0,0,0,0,195,1,0,0,0,25.50
Ryan Griffin,16,0,0,0,0,0,192,1,0,0,0,25.20
Charles Johnson,16,0,0,0,0,0,192,1,0,0,0,25.20
Maxx Williams,16,0,0,0,0,0,189,1,0,0,0,24.90
Ryan Grant,16,0,0,0,0,0,186,1,0,0,0,24.60
Rhett Ellison,16,0,0,0,0,0,185,1,0,0,0,24.50
DeVier Posey,16,0,0,0,0,0,185,1,0,0,0,24.50
Harry Douglas,16,0,0,0,0,0,203,1,0,0,1,24.30
Jordan Todman,16,0,0,0,90,1,92,0,0,0,0,24.20
Myles White,16,0,0,0,0,0,180,1,0,0,0,24.00
James White,16,0,0,0,74,0,104,1,0,0,0,23.80
Virgil Green,16,0,0,0,0,0,165,1,0,0,0,22.50
Keshawn Martin,16,0,0,0,0,0,162,1,0,0,0,22.20
Rex Burkhead,16,0,0,0,26,0,130,1,0,0,0,21.60
Jamize Olawale,16,5,0,0,57,1,95,0,0,0,0,21.40
Marc Mariani,16,0,0,0,0,0,171,1,0,0,1,21.10
Kerwynn Williams,16,0,0,0,60,2,50,0,0,0,1,21.00
Rashad Ross,16,0,0,0,0,0,147,1,0,0,0,20.70
